giocatore;ruolo;squadra;pr;fv;fv_hat;metric;metric_norm;q
martinez l;A;inter;100,0;7,0;0,3684210526315789;36,84210526315789;1,0;3
insigne l;A;napoli;73,6842105263158;9,25;0,4868421052631579;35,872576177285325;0,973684210526316;3
messias j;A;crotone;100,0;6,5;0,34210526315789475;34,21052631578947;0,9285714285714286;3
nzola m;A;spezia;68,42105263157895;9,0;0,47368421052631576;32,40997229916897;0,8796992481203008;3
simy n;A;crotone;100,0;6,0;0,3157894736842105;31,57894736842105;0,8571428571428572;3
palacio r;A;bologna;94,73684210526315;6,0;0,3157894736842105;29,916897506925203;0,8120300751879699;3
improta r;A;benevento;89,47368421052632;6,0;0,3157894736842105;28,25484764542936;0,7669172932330828;3
kouame c;A;fiorentina;73,6842105263158;6,0;0,3157894736842105;23,26869806094183;0,6315789473684211;3
colley e;A;verona;73,6842105263158;6,0;0,3157894736842105;23,26869806094183;0,6315789473684211;3
politano m;A;napoli;73,6842105263158;6,0;0,3157894736842105;23,26869806094183;0,6315789473684211;3
sau m;A;benevento;68,42105263157895;6,0;0,3157894736842105;21,60664819944598;0,5864661654135338;2
scamacca g;A;genoa;68,42105263157895;6,0;0,3157894736842105;21,60664819944598;0,5864661654135338;2
orsolini r;A;bologna;68,42105263157895;6,0;0,3157894736842105;21,60664819944598;0,5864661654135338;2
farias d;A;spezia;68,42105263157895;6,0;0,3157894736842105;21,60664819944598;0,5864661654135338;2
petagna a;A;napoli;68,42105263157895;6,0;0,3157894736842105;21,60664819944598;0,5864661654135338;2
pandev g;A;genoa;63,1578947368421;5,5;0,2894736842105263;18,282548476454295;0,4962406015037595;2
pussetto i;A;udinese;57,89473684210526;6,0;0,3157894736842105;18,28254847645429;0,49624060150375937;2
raspadori g;A;sassuolo;52,63157894736842;5,75;0,3026315789473684;15,92797783933518;0,4323308270676692;2
pavoletti l;A;cagliari;47,368421052631575;6,0;0,3157894736842105;14,958448753462601;0,40601503759398494;2
mayoral b;A;roma;42,10526315789474;6,25;0,32894736842105265;13,850415512465377;0,37593984962406024;2
riviere e;A;crotone;42,10526315789474;5,75;0,3026315789473684;12,742382271468145;0,3458646616541354;2
zaza s;A;torino;47,368421052631575;5,0;0,2631578947368421;12,465373961218836;0,33834586466165417;2
salcedo e;A;verona;42,10526315789474;5,5;0,2894736842105263;12,18836565096953;0,33082706766917297;2
piccoli r;A;spezia;36,8421052631579;6,0;0,3157894736842105;11,634349030470915;0,31578947368421056;2
di serio g;A;benevento;36,8421052631579;6,0;0,3157894736842105;11,634349030470915;0,31578947368421056;2
keita b;A;sampdoria;31,57894736842105;6,5;0,34210526315789475;10,80332409972299;0,2932330827067669;2
muriqi v;A;lazio;36,8421052631579;5,5;0,2894736842105263;10,664819944598339;0,2894736842105264;1
nestorovski i;A;udinese;31,57894736842105;6,0;0,3157894736842105;9,972299168975068;0,2706766917293233;1
perez c;A;roma;31,57894736842105;5,75;0,3026315789473684;9,556786703601107;0,2593984962406015;1
cutrone p;A;fiorentina;31,57894736842105;5,5;0,2894736842105263;9,141274238227147;0,24812030075187974;1
skov olsen a;A;bologna;26,31578947368421;6,0;0,3157894736842105;8,310249307479223;0,22556390977443608;1
haraslin l;A;sassuolo;21,05263157894737;5,75;0,3026315789473684;6,3711911357340725;0,1729323308270677;1
la gumina a;A;sampdoria;15,789473684210526;6,0;0,3157894736842105;4,986149584487534;0,13533834586466165;1
mihaila v;A;parma;15,789473684210526;6,0;0,3157894736842105;4,986149584487534;0,13533834586466165;1
siligardi l;A;crotone;15,789473684210526;6,0;0,3157894736842105;4,986149584487534;0,13533834586466165;1
cerri a;A;cagliari;15,789473684210526;5,5;0,2894736842105263;4,570637119113574;0,12406015037593987;1
llorente f;A;napoli;15,789473684210526;5,5;0,2894736842105263;4,570637119113574;0,12406015037593987;1
bonazzoli f;A;sampdoria;10,526315789473685;6,5;0,34210526315789475;3,6011080332409975;0,09774436090225566;1
santander f;A;bologna;10,526315789473685;6,0;0,3157894736842105;3,32409972299169;0,09022556390977444;1
colombo l;A;milan;10,526315789473685;5,5;0,2894736842105263;3,0470914127423825;0,08270676691729324;0
pinamonti a;A;inter;10,526315789473685;5,5;0,2894736842105263;3,0470914127423825;0,08270676691729324;0
torregrossa e;A;sampdoria;5,2631578947368425;10,0;0,5263157894736842;2,770083102493075;0,07518796992481204;0
edera s;A;torino;5,2631578947368425;6,5;0,34210526315789475;1,8005540166204987;0,04887218045112783;0
milik a;A;napoli;5,2631578947368425;6,0;0,3157894736842105;1,662049861495845;0,04511278195488722;0
mandzukic m;A;milan;5,2631578947368425;6,0;0,3157894736842105;1,662049861495845;0,04511278195488722;0
tutino g;A;napoli;5,2631578947368425;6,0;0,3157894736842105;1,662049861495845;0,04511278195488722;0
tupta l;A;verona;5,2631578947368425;5,5;0,2894736842105263;1,5235457063711912;0,04135338345864662;0
millico v;A;torino;5,2631578947368425;5,5;0,2894736842105263;1,5235457063711912;0,04135338345864662;0
schiappacasse n;A;sassuolo;5,2631578947368425;5,5;0,2894736842105263;1,5235457063711912;0,04135338345864662;0
mastinu g;A;spezia;5,2631578947368425;5,5;0,2894736842105263;1,5235457063711912;0,04135338345864662;0
kargbo a;A;crotone;5,2631578947368425;5,5;0,2894736842105263;1,5235457063711912;0,04135338345864662;0
siligardi l;A;parma;5,2631578947368425;5,0;0,2631578947368421;1,3850415512465375;0,03759398496240602;0
